id,localidad,direccion,marca,telefono,horario,latitud,longitud,fecha
37842,Ripollet,CRTA. B-141 Km 0 CR,Repsol,935 806 092,L-D 24 horas,41.500301,2.151051,2018-04-23
37843,Quart,"Ctra Comarcal 250, km7",Repsol,972 469 087,Cerrado Noches,41.933609,2.843764,2018-04-23
37844,Tarragona,Ctra N340 km 1173,Repsol,977 651 551,Cerrado Noches,41.139695,1.365603,2018-04-23
37845,Valencia,Lliria,"PLA DE RASCANYA, 12",Independiente,647347727,L-D 07:00 a 21:00,39.635394,-0.587091
37846,Valencia,Valencia,C/ Maestro Rodrigo,Repsol,963 498 590,L-D 24 Horas,39.487827,-0.404135
37847,Barcelona,"Plaza Guayaquil, 25-27",Repsol,933 117 145,Cerrado Noches,41.442982,2.205977,2018-04-23
37848,Pontevedra,Sanxenxo,"LGAR FONTOIRA VINQUIO, 42A",Repsol,626 065 456,Cerrado noches,42.415392,-8.813005
37849,Manet de la Selva,"C-35 km. 82,5",Galp,972 858 021,L-D 24 Horas,41.781112,2.740901,2018-04-23
37850,Murcia,Librilla,"AUTOVIA A-7 PK 591,5",Repsol,968 659 272,L-D 24 Horas,37.892861,-1.339783
37851,Murcia,La Palma,Calle Marcona 21,Repsol,968 165 909,"Cerrado noches todo el a~»37.683441""",-0.954966,2018-05-13
37852,Granollers,Carrer Enric Prat de la Riba 100,Meroil,938492582,c,41.601578,2.277948,2018-05-20
37853,"Bellvâ;Avinguda de Bell-lloc. Ctra. LV-3311, Km. 5,2""",E.S. BELLVIS,973 71 62 56,a,41.670299,0.81449,2018-05-24,
37854,Ciudad Real,"ValdepeGâ;Avda.del vino 10""",Libre,,926313348,38.78086265,-3.390542388,2018-07-05
37858,Alava,Victoria,"C/ JOSE MARIA IPARRAGUIRRE, 19",Repsol,945 154 390,ABIERTO 24 HORAS,42.836667,-2.659722
37859,Santa Leocadia de Algama,Corral Roig S/N,Petrem Trucks,972 514 615,L-D: 24 horas,42.230971,2.956654,2018-09-24
37860,Castellon de Ampurias,Carrer de Orlina S/N,Repsol,972 456 013,L-D: 06:00-22:00,42.253,3.095333,2018-09-24
37861,Madrid,Torres de la Alameda,"Calle Bruselas, 2",Green Gas Fuel,91 867 51 20,L-D: 09:00-21:00 horas,40.408284,-3.371485
37862,Algeciras,"Paseo Victoria Eugenia, SN",Repsol,95 657 27 29,L-D: 24 HORAS,36.116944,-5.444722,2018-10-09
37863,Lodares de Medinaceli,"A2 - KM 154,4",Repsol,97 518 21 27,L-D: 24 horas,41.189347,-2.404335,2018-10-16
37865,Valencia,Valencia,"Avda De Les Corts Valencianes, 57",Repsol,961 48 74 18,L-D: 24 horas,39.494769,-0.403239
37866,Valencia,Valencia,"Calle Traginers, 2",Repsol,963 791 731,L-D: 06:00 - 22:00,39.462883,-0.406528
37867,Cantabria,Bolmir,"Autovia A67, PK. 133,4",CEPSA,942 751 331,L-D: 24 horas,42.986588,-4.134681
37868,Ciudad Real,Membrilla,"CTRA. N-430 KM. 366,1",Roderoil,926 160 083,L-D: 24 horas,38.985806,-3.3535
37869,Valencia,Sagunto,Avda. de les Moreres s/n - CC Vidanova Parc,Buran Energy,962 120 325,L-V: 07:00 a 22:00 horasS: 09:00 a 22:00 horasD y festivos: 09:00 a 14:00 y 16:00 a 21:00 horas.,39.671503,-0.264653
37870,Asturias,Jarrio,"Pol. Ind. Rio Pinto de Jarrio, Parc. 102",Repsol,985 624 850,L-D: 7:00 a 23:00h,43.542419,-6.764442
37871,Hospitalet de Llobregat,"Av. Joan de Carles, I 16-20",Ecobenz,932 966 089,L-D: 24 horas,41.34824,2.133992,2019-02-14
37872,Toledo,Casarrubios del Monte,Ctra. A5 Km. 40 - Urb. Valdeoro,Shell,689 36 96 79,L-D: 24 horas,40.223468,-4.07544
37873,Malaga,"CR A-45 P.K. 165,00 I",Repsol,952 256 745,L-D: 24 horas,36.76899,-4.424682,2019-03-13
37874,Ourense,Xinzo de Limia,"A, Pista da Devesa",Repsol,988 46 01 14,Cerrado noches,42.075895,-7.727122
37875,"Coria del Râ;Avenida Blas Infante, 41""",Repsol,954 771 870,L-D: 24 horas (excepto domingo),37.278017,-6.058154,2019-03-22,
37879,Asturias,Jarrio,"PG RIO PINTO DE JARRIO , PARC.102 (C.P. 33719, JARRIO , ASTURIAS)",REPSOL,985 624 850,,43.542.482,-6.764.570
37880,Sevilla,"Avenida de Jerez, 24 - 41012 Sevilla",REPSOL,954 680 169,24 HORAS,37.338.381,-5.971.288,2019-07-26
37881,Estepa,"CR A-92 P.K. 110.1 I, 41560 Estepa, Sevilla",REPSOL,955 912 384,L-D: Hasta 23 horas,37.302.013,-4.880.127,2019-07-26
